"ticker","entity","concept","fy","fp","form","start","end","days","val","filed","accn","frame"
"HD","The Home Depot, Inc.","DepreciationDepletionAndAmortization","2026","Q1","10-Q","2025-02-03","2025-05-04","90","855000000","2026-05-27","0001628280-26-038247","CY2025Q1"
"HD","The Home Depot, Inc.","DepreciationDepletionAndAmortization","2025","Q2","10-Q","2025-02-03","2025-08-03","181","1720000000","2025-08-26","0000354950-25-000217",""
"HD","The Home Depot, Inc.","DepreciationDepletionAndAmortization","2026","Q2","10-Q","2025-02-03","2025-08-03","181","1720000000","2026-08-25","0001628280-26-058715",""
"HD","The Home Depot, Inc.","DepreciationDepletionAndAmortization","2025","Q3","10-Q","2025-02-03","2025-11-02","272","2606000000","2025-11-25","0001628280-25-053868",""
"HD","The Home Depot, Inc.","DepreciationDepletionAndAmortization","2025","FY","10-K","2025-02-03","2026-02-01","363","3514000000","2026-03-18","0001628280-26-019436","CY2025"
"HD","The Home Depot, Inc.","DepreciationDepletionAndAmortization","2026","Q1","10-Q","2026-02-02","2026-05-03","90","910000000","2026-05-27","0001628280-26-038247","CY2026Q1"
"HD","The Home Depot, Inc.","DepreciationDepletionAndAmortization","2026","Q2","10-Q","2026-02-02","2026-08-02","181","1839000000","2026-08-25","0001628280-26-058715",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","FY","10-K","2018-01-29","2019-02-03","370","1870000000","2021-03-24","0000354950-21-000089","CY2018"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","Q1","10-Q","2019-02-04","2019-05-05","90","480000000","2020-05-27","0000354950-20-000041","CY2019Q1"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","Q2","10-Q","2019-02-04","2019-08-04","181","972000000","2020-08-25","0000354950-20-000068",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","Q2","10-Q","2019-05-06","2019-08-04","90","492000000","2020-08-25","0000354950-20-000068","CY2019Q2"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","Q3","10-Q","2019-02-04","2019-11-03","272","1470000000","2020-11-24","0000354950-20-000103",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","Q3","10-Q","2019-08-05","2019-11-03","90","498000000","2020-11-24","0000354950-20-000103","CY2019Q3"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","FY","10-K","2019-02-04","2020-02-02","363","1989000000","2021-03-24","0000354950-21-000089",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","FY","10-K","2019-02-04","2020-02-02","363","1989000000","2022-03-23","0000354950-22-000070","CY2019"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","Q1","10-Q","2020-02-03","2020-05-03","90","520000000","2020-05-27","0000354950-20-000041",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","Q1","10-Q","2020-02-03","2020-05-03","90","520000000","2021-05-25","0000354950-21-000147","CY2020Q1"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","Q2","10-Q","2020-02-03","2020-08-02","181","1039000000","2020-08-25","0000354950-20-000068",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","Q2","10-Q","2020-02-03","2020-08-02","181","1039000000","2021-08-24","0000354950-21-000189",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","Q2","10-Q","2020-05-04","2020-08-02","90","519000000","2020-08-25","0000354950-20-000068",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","Q2","10-Q","2020-05-04","2020-08-02","90","519000000","2021-08-24","0000354950-21-000189","CY2020Q2"
